Country,PovertyFraction,GDPPerCapita $,MilitaryExpenditureFraction,Population
US,0.12,54629.4951678912,0.0406,322422965
France,0.062000000000000006,42725.7394894127,0.026000000000000002,64101308
China,0.08,7590.01644054361,0.043,1364773138
India,0.25,1581.51070308774,0.025,1291780156
Iran,0.18,5442.87477076039,0.025,77176386
Afghanistan,0.53,633.56924695192,0.019,35623235
Cameroon,0.48,1407.40341322234,0.013000000000000001,21362945
Brazil,0.31,11726.8058803488,0.026000000000000002,201700544
Russia,0.158,12735.9184024927,0.039,142400066
Canada,0.10800000000000001,50230.8076901423,0.011000000000000001,35309555
